title,rating,year,movie_url,backdrop
The Last Stop in Yuma County,★★★★,2024,https://letterboxd.com/films/the-last-stop-in-yuma-county,https://image.tmdb.org/t/p/w500/Y91KJmQ13jNEpOlNL9j6PPRpIO.jpg
Booksmart,★★★★,2019,https://letterboxd.com/films/booksmart,https://image.tmdb.org/t/p/w500/cheDSO3mYmsAFQlRM91o7MK6Wcc.jpg
Inside Out 2,★★★★★,2024,https://letterboxd.com/films/inside-out-2-2024,https://image.tmdb.org/t/p/w500/stKGOm8UyhuLPR9sZLjs5AkmncA.jpg
Uncut Gems,★★★★★,2019,https://letterboxd.com/films/uncut-gems,https://image.tmdb.org/t/p/w500/uzvT6tYrU5SxfHe1ieimIGAqyFm.jpg
Inside Out,★★★★★,2015,https://letterboxd.com/films/inside-out-2015,https://image.tmdb.org/t/p/w500/j29ekbcLpBvxnGk6LjdTc2EI5SA.jpg
Milk,★★★★,2008,https://letterboxd.com/films/milk-2008,https://image.tmdb.org/t/p/w500/znzTuCjd8cm0uGxSqFOuwJO6anz.jpg
Annihilation,★★★★½,2018,https://letterboxd.com/films/annihilation,https://image.tmdb.org/t/p/w500/vYs1YGalB8IEXxdxDtqkL0vfHjO.jpg
Ex Machina,★★★★,2015,https://letterboxd.com/films/ex-machina-2015,https://image.tmdb.org/t/p/w500/dlz8uzyl9mHPyHXbveXutzpx8jI.jpg
Furiosa: A Mad Max Saga,★★★★½,2024,https://letterboxd.com/films/furiosa-a-mad-max-saga,https://image.tmdb.org/t/p/w500/raph7qjAGTMXaIjVxt6ZDSXRzUr.jpg
The Silence of the Lambs,★★★★★,1991,https://letterboxd.com/films/the-silence-of-the-lambs,https://image.tmdb.org/t/p/w500/mfwq2nMBzArzQ7Y9RKE8SKeeTkg.jpg
Challengers,★★★★★,2024,https://letterboxd.com/films/challengers,https://image.tmdb.org/t/p/w500/9joRUC4UyFHkrHf7ihmFaQ1ZZ3.jpg
Juno,★★★★★,2007,https://letterboxd.com/films/juno,https://image.tmdb.org/t/p/w500/sRXMmeNHTSWRYdDz3zaHNyyPJ0u.jpg
The Edge of Seventeen,★★★★½,2016,https://letterboxd.com/films/the-edge-of-seventeen,https://image.tmdb.org/t/p/w500/zxQMedIezpcS6Npx8Q5o30WNDhC.jpg
The Way Back,★★★★,2010,https://letterboxd.com/films/the-way-back-2020,https://image.tmdb.org/t/p/w500/jcQfgcq1j7Vit4wQ54niXiLfvE8.jpg
Get Out,★★★★★,2017,https://letterboxd.com/films/get-out-2017,https://image.tmdb.org/t/p/w500/o8dPH0ZSIyyViP6rjRX1djwCUwI.jpg
Late Night with the Devil,★★★★½,2024,https://letterboxd.com/films/late-night-with-the-devil,https://image.tmdb.org/t/p/w500/4yrOyO3N55XazHQXXYoqiiPQd40.jpg
Kingdom of the Planet of the Apes,★★★★,2024,https://letterboxd.com/films/kingdom-of-the-planet-of-the-apes,https://image.tmdb.org/t/p/w500/fqv8v6AycXKsivp1T5yKtLbGXce.jpg
Godzilla Minus One,★★★½,2023,https://letterboxd.com/films/godzilla-minus-one,https://image.tmdb.org/t/p/w500/fY3lD0jM5AoHJMunjGWqJ0hRteI.jpg
Civil War,★★★★½,2024,https://letterboxd.com/films/civil-war-2024,https://image.tmdb.org/t/p/w500/z121dSTR7PY9KxKuvwiIFSYW8cf.jpg
Monkey Man,★★★★½,2024,https://letterboxd.com/films/monkey-man,https://image.tmdb.org/t/p/w500/lA6KdSkCTxwzvqzPqxch997RabQ.jpg
Call Me by Your Name,★★★★★,2017,https://letterboxd.com/films/call-me-by-your-name,https://image.tmdb.org/t/p/w500/zvOJawrnmgK0sL293mOXOdLvTXQ.jpg
The Florida Project,★★★★★,2017,https://letterboxd.com/films/the-florida-project,https://image.tmdb.org/t/p/w500/pKEp1jpLeNPdTso10hZBDYH7cOl.jpg
Eighth Grade,★★★★,2018,https://letterboxd.com/films/eighth-grade,https://image.tmdb.org/t/p/w500/nWYtXcwB6ZjucKP8u0BDYjPOssj.jpg
Love & Mercy,★★★★,2015,https://letterboxd.com/films/love-mercy,https://image.tmdb.org/t/p/w500/8dg4q6wM2VmRXU3Vq8hFvB2valV.jpg
The Big Sick,★★★★½,2017,https://letterboxd.com/films/the-big-sick,https://image.tmdb.org/t/p/w500/6RfnVwri4LaK1kSzDp5aebsjYwp.jpg
The Usual Suspects,★★★★,1995,https://letterboxd.com/films/the-usual-suspects,https://image.tmdb.org/t/p/w500/7S7PE3vK9Eh5uzCYBDGk5qTJeYW.jpg
L.A. Confidential,★★★★★,1997,https://letterboxd.com/films/la-confidential,https://image.tmdb.org/t/p/w500/fGbM2cqPauRu7ALFPSTDBH9FgpU.jpg
La Haine,★★★★½,1995,https://letterboxd.com/films/la-haine,https://image.tmdb.org/t/p/w500/viGCwLxupyoaLsa6hrnu1gYrB0B.jpg
There Will Be Blood,★★★★½,2007,https://letterboxd.com/films/there-will-be-blood,https://image.tmdb.org/t/p/w500/8LRcCJjbQI552BMCuGgYqph8USS.jpg
Incendies,★★★★★,2010,https://letterboxd.com/films/incendies,https://image.tmdb.org/t/p/w500/aFmoJntgDPR0Jd8XD1ZfFSmcqMg.jpg
Poor Things,★★★★★,2023,https://letterboxd.com/films/poor-things-2023,https://image.tmdb.org/t/p/w500/gsVC7HMf4VR2XFOyqjTSklY2Tms.jpg
Dune: Part Two,★★★★★,2024,https://letterboxd.com/films/dune-part-two,https://image.tmdb.org/t/p/w500/xOMo8BRK7PfcJv9JCnx7s5hj0PX.jpg
Moonlight,★★★★★,2016,https://letterboxd.com/films/moonlight-2016,https://image.tmdb.org/t/p/w500/A9KPbYTQvWsp51Lgz85ukVkFrKf.jpg
The Zone of Interest,★★★★½,2023,https://letterboxd.com/films/the-zone-of-interest,https://image.tmdb.org/t/p/w500/bq9FpkTw9I3s1cSRuZxQibM2xOx.jpg
Drive My Car,★★★★★,2021,https://letterboxd.com/films/drive-my-car,https://image.tmdb.org/t/p/w500/r6aqhlmJmu8Dv5E7QYEruaEXKYm.jpg
The Lobster,★★★★,2015,https://letterboxd.com/films/the-lobster,https://image.tmdb.org/t/p/w500/s48CvFbWoWHhSPgz2wW9Rffw04q.jpg
Baby Driver,★★★★★,2017,https://letterboxd.com/films/baby-driver,https://image.tmdb.org/t/p/w500/yir5430WblZSZuIMd9C6pIZerfA.jpg
American Fiction,★★★★½,2023,https://letterboxd.com/films/american-fiction,https://image.tmdb.org/t/p/w500/3mpgltEMgPf8zFtPnAWdDVN8ZT1.jpg
CODA,★★★★★,2021,https://letterboxd.com/films/coda-2021,https://image.tmdb.org/t/p/w500/v85FlkbMYKa5du1glm0YfYNsL2n.jpg
May December,★★★★,2023,https://letterboxd.com/films/may-december,https://image.tmdb.org/t/p/w500/97MOhHIgU6ZdLcB9DrAhx3WAqrU.jpg
Anatomy of a Fall,★★★½,2023,https://letterboxd.com/films/anatomy-of-a-fall,https://image.tmdb.org/t/p/w500/kszooR7v1TLFM4pzx6IkKq2jDAN.jpg
Dream Scenario,★★★,2023,https://letterboxd.com/films/dream-scenario,https://image.tmdb.org/t/p/w500/okXIAgFc2U6jf4uZrivhwEu7vbW.jpg
Past Lives,★★★★★,2023,https://letterboxd.com/films/past-lives,https://image.tmdb.org/t/p/w500/7HR38hMBl23lf38MAN63y4pKsHz.jpg
The Iron Claw,★★★★★,2023,https://letterboxd.com/films/the-iron-claw-2023,https://image.tmdb.org/t/p/w500/s9uNBc8DTBydKoVa1OzJUjVgVek.jpg
Wonka,★★★★,2023,https://letterboxd.com/films/wonka,https://image.tmdb.org/t/p/w500/yyFc8Iclt2jxPmLztbP617xXllT.jpg
The Holdovers,★★★★★,2023,https://letterboxd.com/films/the-holdovers,https://image.tmdb.org/t/p/w500/57fhbxl9is7W7ur5v6UuvlNsoSg.jpg
Maestro,★★★★½,2023,https://letterboxd.com/films/maestro-2023,https://image.tmdb.org/t/p/w500/et0G74BxoBgNQEZBkUcVhsgeRFF.jpg
Leave the World Behind,★★★★,2023,https://letterboxd.com/films/leave-the-world-behind-2023,https://image.tmdb.org/t/p/w500/tLsc8SCFO0rMVgVyNm9XtfnyX84.jpg
Napoleon,★★★,2023,https://letterboxd.com/films/napoleon-2023,https://image.tmdb.org/t/p/w500/eHMh7kChaNeD4VTdMCXLJbRTzcI.jpg
Drive,★★★★★,2011,https://letterboxd.com/films/drive-2011,https://image.tmdb.org/t/p/w500/1oaLxMtdn47TWdaty8BwdU4oXhV.jpg
Mystic River,★★★★,2003,https://letterboxd.com/films/mystic-river,https://image.tmdb.org/t/p/w500/4ycpMe25LYpzGW42U9amyW9gM53.jpg
Collateral,★★★★,2004,https://letterboxd.com/films/collateral,https://image.tmdb.org/t/p/w500/55vfQqilh6KNCxym03v7cMMCTqs.jpg
The Killer,★★★★½,2023,https://letterboxd.com/films/the-killer-2023,https://image.tmdb.org/t/p/w500/zEqfkiyWZILZKy2M1lgeGmIRzYR.jpg
The Wolf of Wall Street,★★★★★,2013,https://letterboxd.com/films/the-wolf-of-wall-street,https://image.tmdb.org/t/p/w500/7Nwnmyzrtd0FkcRyPqmdzTPppQa.jpg
Killers of the Flower Moon,★★★★½,2023,https://letterboxd.com/films/killers-of-the-flower-moon,https://image.tmdb.org/t/p/w500/acvE3RWjDLgvbL2RtcyzkrsAyNV.jpg
GoodFellas,★★★★★,1990,https://letterboxd.com/films/goodfellas,https://image.tmdb.org/t/p/w500/d6UxFCGQxpszcf8mwgGjQ3ynqGl.jpg
The Irishman,★★★★★,2019,https://letterboxd.com/films/the-irishman-2019,https://image.tmdb.org/t/p/w500/1RDto0tLo8Fhq7OcwgDaM7nECb7.jpg
Once Upon a Time… in Hollywood,★★★★,2019,https://letterboxd.com/films/once-upon-a-time-in-hollywood,https://image.tmdb.org/t/p/w500/oRiUKwDpcqDdoLwPoA4FIRh3hqY.jpg
Inglourious Basterds,★★★★½,2009,https://letterboxd.com/films/inglourious-basterds,https://image.tmdb.org/t/p/w500/1Jpkm9qZcsT0mSyVXgs4VlGjPNI.jpg
The Banshees of Inisherin,★★★★½,2022,https://letterboxd.com/films/the-banshees-of-inisherin,https://image.tmdb.org/t/p/w500/coBi63TRBW8OiMryjCQ0NV93Fjs.jpg
"Three Billboards Outside Ebbing, Missouri",★★★½,2017,https://letterboxd.com/films/three-billboards-outside-ebbing-missouri,https://image.tmdb.org/t/p/w500/oQHF0Y4gCw6VdPmapjsbZoxY2ht.jpg
Panic Room,★★★★½,2002,https://letterboxd.com/films/panic-room,https://image.tmdb.org/t/p/w500/9G5bteYI8FXaY9EomnUP0kdHm66.jpg
Se7en,★★★★★,1995,https://letterboxd.com/films/se7en,https://image.tmdb.org/t/p/w500/iwgl8zlrrfvfWp9k9Paj8lvFEvS.jpg
The Social Network,★★★★★,2010,https://letterboxd.com/films/the-social-network,https://image.tmdb.org/t/p/w500/cq9N64ucEtfIc3eMxNr1VzY9LH9.jpg
The Girl with the Dragon Tattoo,★★★★½,2011,https://letterboxd.com/films/the-girl-with-the-dragon-tattoo-2011,https://image.tmdb.org/t/p/w500/dNFbrnF0mIBm0rClbfEFWTtsgMP.jpg
Gone Girl,★★★★,2014,https://letterboxd.com/films/gone-girl,https://image.tmdb.org/t/p/w500/h2JaQWLKhapm7AuSViJwGiv8ngC.jpg
Lady Bird,★★★★★,2017,https://letterboxd.com/films/lady-bird,https://image.tmdb.org/t/p/w500/pcWxKfFNCznTKYy0E8M9nG1cwL4.jpg
Barbie,★★★★½,2023,https://letterboxd.com/films/barbie,https://image.tmdb.org/t/p/w500/3N5QNUqS76GFYNoEayfkkJyAyTN.jpg
Oppenheimer,★★★★★,2023,https://letterboxd.com/films/oppenheimer-2023,https://image.tmdb.org/t/p/w500/nb3xI8XI3w4pMVZ38VijbsyBqP4.jpg
The Departed,★★★★★,2006,https://letterboxd.com/films/the-departed,https://image.tmdb.org/t/p/w500/6WRrGYalXXveItfpnipYdayFkQB.jpg
Mission: Impossible – Dead Reckoning Part One,★★½,2023,https://letterboxd.com/films/mission-impossible-dead-reckoning-part-one,https://image.tmdb.org/t/p/w500/628Dep6AxEtDxjZoGP78TsOxYbK.jpg
Indiana Jones and the Dial of Destiny,★★★,2023,https://letterboxd.com/films/indiana-jones-and-the-dial-of-destiny,https://image.tmdb.org/t/p/w500/35z8hWuzfFUZQaYog8E9LsXW3iI.jpg
Spider-Man: Across the Spider-Verse,★★★★★,2023,https://letterboxd.com/films/spider-man-across-the-spider-verse,https://image.tmdb.org/t/p/w500/4HodYYKEIsGOdinkGi2Ucz6X9i0.jpg
Guardians of the Galaxy Vol. 3,★★★½,2023,https://letterboxd.com/films/guardians-of-the-galaxy-vol-3,https://image.tmdb.org/t/p/w500/5YZbUmjbMa3ClvSW1Wj3D6XGolb.jpg
Spotlight,★★★½,2015,https://letterboxd.com/films/spotlight,https://image.tmdb.org/t/p/w500/8FbbcmwmpGd7brfiC7f7lWFNGdi.jpg
Birdman or (The Unexpected Virtue of Ignorance),★★★★½,2014,https://letterboxd.com/films/birdman-or-the-unexpected-virtue-of-ignorance,https://image.tmdb.org/t/p/w500/s0OrExdg7i3RLR7oqzHRk4q2kL4.jpg
Aftersun,★★★★★,2022,https://letterboxd.com/films/aftersun,https://image.tmdb.org/t/p/w500/d5l2ITQvpgP0dcWCAG6PUvp8YZw.jpg
The Fabelmans,★★★★★,2022,https://letterboxd.com/films/the-fabelmans,https://image.tmdb.org/t/p/w500/xQyGkQ8ICa4lgifGr3oZjkm3AJ2.jpg
TÁR,★★★★★,2022,https://letterboxd.com/films/tar-2022,https://image.tmdb.org/t/p/w500/fwhN9a0oRZvzc2tDuu5BZ59MOPz.jpg
The Menu,★★★★½,2022,https://letterboxd.com/films/the-menu-2022,https://image.tmdb.org/t/p/w500/mSyQoValhBsJdq3JNGXJww2Q5yL.jpg
Avatar: The Way of Water,★★★½,2022,https://letterboxd.com/films/avatar-the-way-of-water,https://image.tmdb.org/t/p/w500/8rpDcsfLJypbO6vREc0547VKqEv.jpg
El Camino: A Breaking Bad Movie,★★★★,2019,https://letterboxd.com/films/el-camino-a-breaking-bad-movie,https://image.tmdb.org/t/p/w500/yzpZVgaTZzDrAP1yVeCbKZH9jmA.jpg
Glass Onion,★★★★,2022,https://letterboxd.com/films/glass-onion,https://image.tmdb.org/t/p/w500/dKqa850uvbNSCaQCV4Im1XlzEtQ.jpg
Nope,★★★★½,2022,https://letterboxd.com/films/nope,https://image.tmdb.org/t/p/w500/5N8LOeRzt7LcZIhPbNVaCsVOPdT.jpg
Top Gun: Maverick,★★★★½,2022,https://letterboxd.com/films/top-gun-maverick,https://image.tmdb.org/t/p/w500/AaV1YIdWKnjAIAOe8UUKBFm327v.jpg
The Batman,★★★★,2022,https://letterboxd.com/films/the-batman,https://image.tmdb.org/t/p/w500/tRS6jvPM9qPrrnx2KRp3ew96Yot.jpg
